id;name;salary_from;salary_to;salary_currency;salary_gross;description;employer_name;area_id;area_name;published_at
41413349;Программист 1С;500000;500000;KZT;FALSE;"<p><strong>Обязанности</strong>:</p> <ul> <li>Написание и доработка конфигураций 1С;</li> <li>Консультирование пользователей 1С по нетиповым конфигурациям;</li> <li>Внедрение и поддержка конфигураций для нужд производства, бухгалтерии, склада, торговли и т. д.;</li> <li>Поддержка и обслуживание платформы 1С;</li> <li>Принятие задач от клиентов, составление технических заданий;</li> <li>Разработка новых проектов и поддержка старых;</li> <li>Разработка обработок обслуживания торгового оборудования;</li> <li>Перенос данных их 1с 77, 8.2, 8.3 и других сторонних программ в базу 1С;</li> <li>Свертка базы 1С;</li> <li>Настройка обмена между типовыми и нетиповыми конфигурациями 1С;</li> </ul> <p> </p> <p><strong>Требования</strong>:</p> <ul> <li>На должность &quot;программиста 1С&quot; требуется лицо, имеющее высшее профессиональное образование и стаж работы не менее 10 лет</li> <li>Наличие сертификатов 1С: Специалист, 1С: Профессионал</li> <li>Знания ПП фирмы 1С</li> <li>Умение настраивать торговое оборудование(терминал сбора данных, принтер чеков, принтер этикеток, электронные весы)к базе 1С 8.2,8.3</li> </ul> <p> </p> <p><strong>Опыт, навыки и умения, требуемые для выполнения работ: </strong></p> <ul> <li>Программист 1С должен знать: <ul> <li>Типовые конфигурации 1С: ЗУП, Бухгалтерия, Управление торговлей, Управление производственным предприятием, Комплексная автоматизация и др. типовые решения.</li> <li>Основы бухгалтерского, налогового, оперативного и кадрового учета, бюджетирования. Встроенный язык 1С:Предприятия.</li> <li>Программист 1С должен иметь опыт: Выявлять проблемные участки в учете клиентов</li> <li>Проводить анализ поставленных задач на адекватность, находить оптимальное решение</li> <li>Формализовать поставленные задачи</li> <li>Декомпозировать задачу на ряд логически законченных подзадач</li> <li>Решать поставленные задачи путем внесения изменений в программный код конфигурации</li> <li>Обновлять не типовые конфигурации</li> <li>Выявлять изменения в конфигурациях</li> </ul> </li> </ul> <p> </p> <p><strong>Требования к личностным качествам работника: </strong></p> <ul> <li>Высокая работоспособность, организованность, стрессоустойчивость, не конфликтность</li> <li>Исполнительность, ответственность, умение работать в команде, лояльность к компании</li> <li>Приверженность к соблюдению норм профессиональной этики</li> </ul> <p> </p> <p><strong>Условия</strong>:</p> <ul> <li>Испытательный срок 2 месяца</li> <li>Внутреннее бесплатное профессиональное обучение</li> <li>Работу в дружной команде профессионалов</li> <li>Оплата сотовой связи</li> <li>Оформление по ТК РК</li> <li>Оплату проезда при выездах к клиенту</li> <li>Занятость: Полный рабочий день</li> <li><strong>Тип занятости</strong> Полная занятость, гибкий график</li> <li>Разъездной характер работы</li> </ul>";IСКЕР-АУДИТ-1С Франчайзинг;160;Алматы;2021-01-05
40885067;Программист-разработчик 1С (удаленно);420000;900000;KZT;TRUE;"<p>Программист-разработчик 1С удаленно на постоянной основе</p> <p><strong>Требования</strong>:</p> Абонентское сопровождение 4-5 компаний: решение всех возникающих проблем, разработка дополнительного функционала, работы в основном по кодированию, но также приветствуется хорошее знание учета;<br />- на данный момент требуются специалисты с хорошим и качественным уровнем кода, главное думать об удобстве работы пользователя в дальнейшем интерфейсе и красивом виде;<br />- знание основных конфигураций БУХ, УТ, ЗУП, УПП;<br />- возможность консультирования пользователей по работе в программе;<br />- общение с клиентами напрямую. <p> </p> <p><strong>Условия:</strong></p> <p>- Интересная интеллектуальная работа в слаженном коллективе;</p> <p>-официальное трудоустройство</p> <p>-постоянное общение с коллегами через видео-конференции, skype, утренние собрания;</p> <p>-прозрачная система оплаты труда, включающая бонусы за достигнутые результаты;</p> <p>-Интересная работа в команде профессионалов;</p> <p>-Корпоративное обучение и тренинги ;</p> <p>-Оплата обучения и сертификация за счет компании</p> <p>-удаленно на постоянной основе.</p>";Smart Technology Service;159;Нур-Султан;2020-12-09
48336534;PHP Программист / Программист 1С Битрикс;250000;250000;RUR;FALSE;"<p><em><strong>М Партс – это лидеры в рынке автозапчастей</strong></em></p> <ul> <li><em><strong>16 тысяч довольных покупателей</strong></em></li> <li><em><strong>26 миллионов автозапчастей в ассортименте</strong></em></li> <li><em><strong>250 профессионалов работающих в нашей команде</strong></em></li> </ul> <p><em><strong>М Партс – эффективно и предсказуемо!</strong></em></p> <p><strong>Обязанности:</strong></p> <ul> <li>Поддержка, развитие и создание новых сайтов на Битрикс.</li> <li>Организация обмена данных с базой 1С со стороны сайта.</li> <li>Настройка и поддержка интеграции сайта на PHP и 1C-Bitrix с 1С Управление Торговлей и другими внешними системами (платежные системы, соц. сети).</li> <li>Администрирование веб-сайта.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Знание HTML5, CSS3, JavaScript, понимание адаптивной, кроссбраузерной верстки.</li> <li>Сss-препроцессоры, Bootstrap.</li> <li>Опыт верстки email-рассылок.</li> <li>Опыт работы с системами контроля версий (git).</li> <li>Знание и опыт в разработке на PHP, API Bitrix (старое ядро обязательно, D7 как преимущество, разработка простых и комплексных компонентов, кастомизация типовых компонентов через типовые методы кастомизации шаблона (result_modifier.php, component_epilog.php), разработка или доработка модулей станет преимуществом), Ajax, REST, SQL).</li> <li>Наличие действующего портфолио работ.</li> <li>Опыт разработки под 1С-Битрикс от 3 лет.</li> <li>Уверенный пользователь Linux .</li> <li>Порядочность, стрессоустойчивость, коммуникабельность, аккуратность, ответственность, креативность, инициативность и привычка всегда доводить начатое дело до конца.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Работа в офисе динамично развивающейся компании;</li> <li>Заработная плата: по договоренности;</li> <li>Испытательный срок - 3 месяца;</li> <li>Оформление по ТК РФ;</li> <li>Полный социальный пакет;</li> <li>Офис м. Теплый Стан;</li> <li>График 5/2;</li> <li>Своя кухня, бесплатный корпоративный транспорт (15 мин в пути), на территории есть столовая.</li> </ul> <p><em><strong>Благодарим за интерес, проявленный к нашей Компании и надеемся, что Вы присоединитесь к нашей Команде!</strong></em></p>";М Партс;1;Москва;2021-10-16
38877989;Архитектор 1С;220000;220000;RUR;TRUE;"<p><strong>Круг задач:</strong></p> <ul> <li>Обеспечивает выполнение процесса «Управление ИТ-архитектурой» через поддержание описания ИТ-архитектуры в актуальном состоянии, планирование развития ИТ-архитектуры для обеспечения потребностей бизнеса в информации, контроль реализации архитектурных решений при реализации проектов автоматизации, в том числе:</li> <li>участвует в планировании, организации и контроле разработки и внедрения программного обеспечения, ИС и ИТ-сервисов (в части, относящейся к ИТ-архитектуре);</li> <li>планирует, организует и непосредственно участвует в процессе разработки технологической архитектуры отдельных ИС и ИТ-архитектуры в целом;</li> <li>управляет проектами внедрения технологических решений (компонентов технологической архитектуры);</li> <li>разрабатывает требования и внутренние стандарты на компоненты технологической архитектуры;</li> <li>оценивает (проводит аудит) состояние технологической архитектуры с точки зрения потенциальных возможностей реализации различных бизнес-стратегий;</li> <li>осуществляет взаимодействие с внутренними Заказчиками;</li> <li>разрабатывает предложения по включению работ в портфель ИТ-проектов;</li> <li>участвует в реализации решений по управлению информационной безопасностью.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее инженерно-техническое или инженерно-математическое образование;</li> <li>Специализированные курсы по направлению Enterprise Architecture, подтвержденные сертификатами – как преимущество;</li> <li>Трудовой стаж работы в должности, аналогичной должности Архитектор информационных технологий не менее 2-х лет.</li> <li>Реальный опыт проектирования сложных ИТ-архитектур (включая уровни приложений, интеграции, данных)</li> <li>владение современными методами и инструментами проектирования архитектур информационных систем уровня предприятия, Enterprise архитектуры (в т.ч. методы и средства обследования и описания предметных областей);</li> <li>понимание современных архитектурных и технологических трендов, компонентная архитектура, цифровизация;</li> <li>знание и понимание методологий описания архитектур уровня предприятия;</li> <li>глубокое знание и понимание основных элементов информационной архитектуры предприятия: бизнес-архитектура, архитектура данных, архитектура приложений, технологическая архитектура;</li> <li>понимание принципов построения программных платформ, опыт построения PaaS/SaaS решений;</li> <li>понимание принципов построения и функционирования LAN и WAN сетей, ИТ-оборудования, системного ПО, СУБД, прикладного ПО, web-сервисов и приложений, мобильных приложений, и т.п. в т.ч. для высоконагруженных и отказоустойчивых сервисов;</li> <li>знание и использование коммерческих и OpenSource СУБД (например, MS SQL, MySql, PostgreSQL). Хорошее знание языка SQL;</li> <li>практические навыки: UML, XML namespaces, SQL;</li> <li>знание стандартов и методологий в области организации и управления ИТ (Cobit, ITIL, MOF);</li> <li>желателен опыт работы с договорами и первичными документами.</li> <li>знание ИС в области логистики (Желательно)</li> <li>Английский язык на уровне Pre-Intermediate (желательно)</li> </ul> <p><strong>Преимущества работы у нас:</strong></p> <p>∙ Полностью белая заработная плата<br />∙ Логистические проекты по всему миру<br />∙ Возможность через технологии изменить логистику к лучшему<br />∙ Комфортный офис в IT парке Отрадное (7 минут пешком от м. Отрадное)<br />∙ Фитнес-клуб в здании офиса (бесплатный для сотрудников).</p>";НАВИНИЯ РУС;1;Москва;2020-08-27
47510312;Программист 1С;210000;250000;RUR;TRUE;"<p><strong>ООО &quot;Логистик-Центр&quot; - основной субподрядчик ПАО &quot;ГМК Норильский никель&quot;</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка и поддержка собственной информационной системы компании на базе «1С:Управление торговлей»;</li> <li>Обработка запросов пользователей на изменения и устранение инцидентов в работе информационных систем на базе 1С;</li> <li>Участие в проектах интеграции 1С с внешними системами;</li> <li>Написание отчетов, обработок, создание печатных форм;</li> <li>Обучение и консультирование пользователей 1С;</li> <li>Подготовка технической документации и составление инструкций;</li> <li>Участие в рабочих совещаниях и рабочих группах компании по системам автоматизации 1С и связанных с ними бизнес-процессов. <p> </p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>​Высшее техническое образование;</li> <li>Опыт разработки на платформе 1С от 3-х лет;</li> <li>Опыт работы с управляемыми формами, СКД, WEB-сервисами;</li> <li>Знание типовых конфигураций 1С:УТ, 1С:ЗУП, 1С:Бухгалтерия;</li> <li>Знание механизмов обмена;</li> <li>Умение разбираться в типовом и «чужом» программном коде;</li> <li>Приветствуется: знание основ бухгалтерского и налогового учета, расчета заработной платы, кадрового учета, складского учета и учета на производстве;</li> <li>Приветствуется знание SQL и опыт разработки на других языках;</li> <li>Наличие сертификатов 1С будет плюсом. <p> </p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Полное соблюдение ТК РФ (оформление, оплата больничных, отпусков и пр.);</li> <li>5-дневная рабочая неделя; сокращенный рабочий день в пятницу - до 15:45;</li> <li>Официальная (белая) конкурентоспособная заработная плата по итогам собеседования;</li> <li>Годовые премии по результатам работы;</li> <li>Бесплатные чай, кофе в офисе;</li> <li>Офис - метро Белорусская, 7 минут.</li> <li>Предоставление ДМС (включая стоматологию) - после испытательного срока.</li> </ul>";Логистик-Центр;1;Москва;2021-09-09
37939434;Руководитель проектов 1С;200000;250000;RUR;FALSE;"<p><strong>О компании:</strong></p> <p>assino – международная консалтинговая компания, лидер рынка автоматизации международных компаний в России и странах СНГ. Уникальная экспертиза наших специалистов, полученная в рамках партнерства с ведущими вендорами ERP-решений, позволяет нам в течение 20 лет успешно внедрять, локализировать и интегрировать учетные системы на проектах международного уровня. В России и СНГ мы в тесном партнерстве с фирмой 1С внедряем учетные системы у ключевых российских и иностранных заказчиков.</p> <p>assino – это опыт реализации более 200 проектов с лидерами глобальных и российских рынков: Siemens, McDonalds, BIOCAD, Sanofi, Mary Kay, Рив Гош, Dr.Theiss, YIT и др. Наши стандарты качества подтверждены рядом международных сертификатов.</p> <p>assino – это профессиональный, сплоченный коллектив единомышленников. В российских офисах компании трудятся свыше 300 высококвалифицированных специалистов.</p> <p><strong>Основные задачи:</strong></p> <ol> <li>Руководство крупными долгосрочными проектами по автоматизации международных предприятий на базе семейства программных продуктов 1С в рамках наших проектных технологий:</li> </ol> <ul> <li>Коммуникации с ключевыми сотрудниками Клиента;</li> <li>Определение бюджета проекта;</li> <li>Контроль и управление рамками, ресурсами и бюджетом проекта;</li> <li>Планирование работ, доведение задач до исполнителей, контроль исполнения;</li> <li>Отслеживание рисков, планирование мер реагирования на риски;</li> <li>Презентация и защита результатов проекта у Клиента;</li> <li>Ведение проектной документации, формирование отчетности по проекту. </li> </ul> <p>2. Участие в предпроектной работе: подготовка и организация презентаций, участие в формировании коммерческих предложений клиентам, планирование проекта и т.д.;</p> <p> </p> <p><strong>Требования: </strong></p> <ul> <li>Опыт руководства проектами внедрения систем на платформе 1С:Предприятие 8 и наличие успешно завершенных;</li> <li>Опыт организации взаимодействия в проектной команде, как исполнителя, так и объединенной проектной команде компании;</li> <li>Знание не менее одной предметной области (производственный учет, торгово-складской учет, расчет зарплаты и кадровый учет, бухгалтерский и налоговый учет, бюджетирование, казначейство и т.д.)</li> </ul> <p><em>Вашими преимуществами будут:</em></p> <ul> <li>Наличие сертификатов фирмы 1С;</li> <li>Владение английским/немецким языками;</li> <li>Понимание встроенного языка 1С;</li> <li>Знание функциональности типовых конфигураций 1С;</li> <li>Высшее техническое или экономическое образование.</li> </ul> <p> Мы предлагаем: </p> <ul> <li>Официальное трудоустройство. Гарантированный стабильный доход от 200 000 - 250 000 рублей, который состоит из базовой ставки 130 000 – 150 000 рублей (обсуждается индивидуально) и премиальной части (по результатам работы).</li> <li>Возможность пополнить свой портфель проектов крупными международными заказчиками;</li> <li>Реальную возможность профессионального и карьерного роста, индивидуальный план развития, внутреннее и внешнее обучение за счет компании, в том числе по линии сертификации 1С;</li> <li>Систему наставничества и курирования с индивидуальным планом развития;</li> <li>Работу в устойчивой международной компании – за 20 лет на рынке прошли не один экономический кризис;</li> <li>Участие в сложных и интересных международных ERP-проектах;</li> <li>Корпоративная связь и ноутбук;</li> <li>Возможность зарубежных командировок;</li> <li>Программу помощи при переезде иногородним сотрудникам;</li> <li>Комфортный офис, гибкий график, возможность удаленной работы. </li> </ul> <p><strong>Работа в условиях пандемии:</strong></p> <p>Наши современные редундантные дата-центры, размещенные в Германии и в России, позволяют нам временно работать вне наших уютных офисов с такой же высокой производительностью. Уникальный опыт и знания наших специалистов по виртуализации рабочих мест и организации гетерогенной IT инфраструктуры также востребованы нашими корпоративными клиентами. Мы разместили IT системы ряда наших корпоративных клиентов в наших дата-центрах, а также временно реализовали удаленные рабочие места.</p>";Assino, Группа компаний;1;Москва;2020-07-09
48432485;Программист 1С;200000;250000;RUR;TRUE;"<p>Управляющая компания Сети фитнес клубов World Class приглашает кандидатов <strong>Программист 1С</strong>.</p> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Официальное трудоустройство, белая зарплата;</li> <li>График работы - 5/2;</li> <li>Возможность работать удаленно и из комфортного офиса;</li> <li>ДМС, бесплатное членство в наших клубах, скидки на услуги компании для сотрудника и родственников, программа лояльности от наших партнеров;</li> <li>Отличные возможности профессионального роста и развития;</li> <li>Работа в команде профессиональных и заботливых коллег;</li> <li>Возможности для развития и самореализации;</li> <li>Возможность решать амбициозные задачи.</li> </ul> <p> </p> <p><strong>Твои задачи:</strong></p> <ul> <li>Участие в проектах по техническому проектированию и развитию систем на базе платформы 1С, как тиражных решений, так и собственных (база оперативного учета, middleware, ЗУП КОРП 2.5,3.1, Бухгалтерия КОРП 3.0, Документооборот, Консолидация Проф и т.д.);</li> <li>Участие в проектах интеграции систем 1С со сторонними и внутренними сервисами (банковские сервисы, провайдеры смс, мессенджеры, интернет-магазины, маркетинговые платформы, мобильные приложения, вэб-сайты и т.д.)</li> <li>Участие в проектах внедрения нового и поддержки существующего оборудования (СКУД, торговое, складское оборудование, оборудование сервисов биометрии и т.д.)</li> <li>Выявление и устранение причин повышенной нагрузки на системы 1С, оптимизация запросов и алгоритмов, оптимизация использования выделенных аппаратных ресурсов</li> <li>Поддержание высокого уровня качества кода и стандартов разработки.</li> </ul> <p> </p> <p><strong>Для нас важно:</strong></p> <ul> <li>Высшее техническое образование;</li> <li>Уверенное знание платформы и средств разработки 1С: Предприятие 8.х;</li> <li>Опыт работы от 5 лет;</li> <li>Хорошее знание механизмов обмена данными: конфигурация «Конвертация данных», планы обмена, web, http-сервисы.;</li> </ul> <p> </p>";World Class;1;Москва;2021-11-06
48850756;Программист 1с;200000;250000;RUR;TRUE;"<strong>Обязанности:</strong> <ul> <li>Внедрение, доработка и сопровождение (не поддержка, а именно разработка и развитие) конфигурации 1С (1С.БИТ Финанс и/или 1С.БИТ Строительство 1С.Бухгалтерия, 1С ЗУП, 1С.Документооборот)- написание отчетов и обработок, развитие функционала.</li> <li>Написание правил обмена между информационными системами</li> <li>Обновление конфигураций</li> <li>Консультация, обучение пользователей</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее образование, аналитический склад ума;</li> <li>Участие в проектах внедрения в составе команды в конфигурациях: 1С.БИТ Финанс и/или 1С.БИТ Строительство 1С.Бухгалтерия, 1С ЗУП, 1С.Документооборот (желательно);</li> <li>Опыт работы с управляемыми формами</li> <li>Опыт интеграции (XML, JSON, веб-сервисы)</li> <li>Желательно опыт работы в инвестиционных или строительных компаниях.</li> </ul> <strong>Условия:</strong> <ul> <li> <p>Работа в компании инвестора проекта по строительству многофункционального центра;<br />- Полное соблюдение ТК РФ (оформление по трудовой, &quot;белая&quot; заработная плата, отпуска, больничный и т.п.);<br />- График работы с 9:00 до 18:00;<br />- Офис расположен в 3 минутах от метро Курская.</p> </li> </ul>";Новый Квартал;1;Москва;2021-10-14
46933948;Программист-разработчик 1С (только офис);200000;200000;RUR;FALSE;"<p><strong>Обязанности:</strong></p> <ul> <li>Аудит текущего состояния автоматизации процессов, выяснение потребностей ключевых пользователей, подготовка предложений по развитию информационной системы;</li> <li>Программирование‚ разработка на платформе 1С: Предприятие;</li> <li>Участие в проектах по автоматизации на базе конфигураций, 1c «КА 2.2», «БП 3», «ЗУП 3», «УТ»</li> <li>Переход с «УТ 10» на «КА 2.2»</li> <li>Настройка обменов данными между конфигурациями 1С</li> <li>Разработка внешних отчетов, обработок, печатных форм, расширений</li> <li>Создание механизмов интеграции с другими программами</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт профессиональной разработки на платформе на платформе 1С Предприятие 8.х от 3 лет;</li> <li>Опыт интеграции с другими программами (CRM) - желательно;</li> <li>Хорошее знание типовых конфигураций 1С (КА, УТ, ЗУП, БП);</li> <li>Знание принципов Бухгалтерского и налогового учетов</li> <li>Опыт перехода со старых конфигураций на новые</li> <li>Хорошее владение СКД</li> <li>Знание принципов обменов между конфигурациями 1С</li> <li>Умение работать с чужим кодом (читать и оптимизировать)</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Современный офис класса &quot;А&quot;, или удаленная работа</li> <li> <p>Программы расширенного медицинского страхования (стоматология);</p> </li> <li> <p>Ежегодный оплачиваемый отпуск; оплата больничных;</p> </li> <li> <p>От метро до офиса наших сотрудников доставляет собственный корпоративный транспорт.</p> </li> <li> <p>Возможен дистанционный режим работы 1-2 дня в неделю, по согласованию.</p> </li> </ul>";QTECH;1;Москва;2021-08-10
49666436;Программист 1С;200000;200000;RUR;FALSE;"<p><em><strong>Уже 12 лет </strong></em>мы являемся одним из крупнейших дистрибьютеров по электрике ведущих, премиальных, европейских брендов. Мы постоянно растем и развиваемся. Являемся одним из лидеров рынка, но цель стоит стать абсолютным <strong><em>номером 1</em></strong>. Для этого мы берем в Компанию только сильных сотрудников и готовы вкладываться в них, чтобы они становились лучшими в своем деле. <em><strong>Дарим Вам хорошее настроение и творчество в работе каждый день!</strong></em></p> <p><em><strong>В связи с активным развитием Компании </strong></em>мы ищем энергичного, позитивного коллегу на позицию <strong><em>&quot;Программист 1С&quot;.</em></strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Сопровождение и доработка функционала 1С 8 (КА, БП, ЗУП);</li> <li>Изменение текущей конфигурации под требования компании;</li> <li>Обеспечение интеграции данных с другими системами;</li> <li>Оперативное решение текущих задач;</li> <li>Оказание консультационной поддержки пользователям;</li> <li>Написание различных отчетов и обработок; создание новых документов, форм, пр.</li> <li>Обеспечение качественного внедрения всех доработок с самостоятельным предварительным тестированием;</li> <li>Участие в мероприятиях по дальнейшей автоматизации бизнес-процессов.</li> </ul> <strong>Требования:</strong> <ul> <li>Знание платформы 1С 8.2 8.3;</li> <li>Опыт программирования в 1С 8 не менее 3-х лет;</li> <li>Опыт работы с используемыми конфигурациями 1С;</li> <li>Опыт работы с адресной системой склада;</li> <li>Понимание бухгалтерского, складского и налогового учёта;</li> <li>Аналитические способности, самостоятельность;</li> <li>Коммуникативность (постоянные контакты с пользователями 1С);</li> <li>Инициативность (находить и предлагать варианты решения задач);</li> <li>Умение оценивать объем и сроки выполнения поставленных задач.</li> </ul> <strong>Условия:</strong> <ul> <li>Стабильная работа в стабильной компании более 12 лет на рынке;</li> <li>Комфортный, светлый офис;</li> <li>Оплачиваемые обеды;</li> <li>Грандиозные корпоративы 2 раза в год;</li> <li>Официальное трудоустройство с первого дня работы;</li> <li>Стабильная выплата заработной платы, премии, бонусы по итогам за год;</li> <li>Дружный, сплоченный коллектив</li> <li>График работы 5/2 с 9.30 - 18.00</li> </ul>";Немецкая Электротехника;1;Москва;2021-11-22
