id;salary_currency;salary_gross;description;area_id;area_name;name;employer_name;published_at;salary_from;salary_to
49176933;KZT;FALSE;"<p>Ищем в команду на высоконагруженный проект разработчика Python + Django + Angular, Fullstack Developer, конкурентая заработная плата по результатам собеседования. Предпочтение отдаем кандидатам выше уровня Middle, желательно Senior.</p> <p> </p> <p><strong>Описание:</strong></p> <ul> <li>разработка и поддержка web-приложений - СПА туроператор в Европе №1 - spa-travel.de;</li> <li>разработка back-end и front-end части web-приложений;</li> <li>тестирование и отладка приложений.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>опыт работы обязателен (от 2-х лет);</li> <li>хорошее знание ООП;</li> <li>опыт работы с Python + Django;</li> <li>понимание принципов работы MVC, ORM;</li> <li>знание AngularJS, jQuery, AJAX;</li> <li>желание изучать новые технологии и совершенствоваться.</li> </ul> <p> </p> <p><strong>Условия работы:</strong></p> <ul> <li>интересный, высоконагруженный проект;</li> <li>испытательный срок 3 месяца;</li> <li>удаленная работа;</li> <li>возможность профессионального и карьерного роста.</li> </ul>";159;Нур-Султан;Программист Python Django (Fullstack), удаленно;Luxystech;2021-10-27;600000;800000
47354264;RUR;TRUE;"<p>Let us convince you that you need a new job… and that you’ve just found the perfect opportunity. We’re growing slowly but steadily, and we’re continuously looking to expand our team with experienced Python engineers.</p> <p> </p> <p><strong>Join Reef Technologies and work on your own terms:</strong></p> <ul> <li>Contribute from wherever you like – we are fully remote.</li> <li>Choose your own working hours. We only hold ~2 calls per week.</li> <li>Work in a fast-paced environment, completing projects of your choice for dynamic startups from all over the world.</li> <li>Enjoy open communication – we all contribute to the decision-making process.</li> <li>Choose the projects you want to work on. We receive enough offers to only accept the ones that we like.</li> </ul> <p> </p> <p><strong>Remuneration on a B2B contract:</strong></p> <ul> <li>41 - 54 USD or 3013 - 3969 RUB per hour, or</li> <li>6888 - 9072 USD or 506 268 - 666 792 RUB a month if you do 40 hours per week</li> <li>Flexible work schedule (measured by time tracker)</li> </ul> <p> </p> <p><strong>Additional perks of working at Reef Technologies:</strong></p> <ul> <li>We offer a stable position at an established company in a booming industry.</li> <li>All decision-makers, including the CEO, are Senior Python Engineers.</li> <li>We cover reasonable coworking space expenses.</li> <li>You’ll get financial help to buy the necessary hardware.</li> <li>You’ll work in a multicultural, inclusive environment where everyone has a say.</li> <li>You’ll get to use your English skills on an everyday basis.</li> <li>You’ll get to take advantage of our flexible leave policy.</li> </ul> <p>And don’t forget that you’ll be free to <strong>work wherever and whenever you feel like it</strong>. We trust you to do your part.</p> <p>Our only expectation timewise is for you to contribute <strong>around 30-40 hours per week</strong>. You’re free to distribute those hours throughout the week in the way that you find the most convenient, within reason.</p> <p>If convenience is something you enjoy, you’ll be happy to see that we offer the <strong>services of a</strong> <strong>private assistant</strong>. Appointments, research, online shopping, and more – you choose which tasks to pass on to your assistant.</p> <p> </p> <p><strong>Expert Python engineer wanted</strong></p> <p>Do you have at least 5 years of programming experience including at least a year with Python? If so, you have probably written so much Python code in your life, that at times you want to express your thoughts through list comprehensions. Thanks to your extensive experience, you can solve any problem that gets thrown at you, but that is not enough – you come up with multiple solutions for every issue, and you always know how to choose the most Pythonic one.</p> <p>And that is all a good sign – a sign that means you’re exactly the type of person that we’re looking for! If you’d like to see what it’s like to collaborate with Python natives who all bring their long-standing expertise to the table, please get in touch. Spoiler alert: it’s great.</p> <p>We have good manners, though, so let us introduce ourselves first. Do you want to find out more about the company? We were hoping you’d ask.</p> <p> </p> <p><strong>Get to know your future company</strong></p> <p>Reef Technologies is a <strong>fully remote Python backend software house</strong>. We’re a small, agile, zero-juniors team. All of our current members have more than <strong>seven years of experience</strong>, so we don’t ever have anything urgent to fix. We only deliver stable solutions, as we have developed a system that has delivered more than a hundred projects in the last three years. We’d like to improve it even further with you on the team.</p> <p>The demand for our work is extremely high, so we get to pick and choose the projects that we want to take on - and the same goes for you. Before you get assigned to a project, you’ll get a personal call from the CEO asking whether you’re interested in that particular task and if you don’t like it, we’ll just get something else. That’s the beauty of having a sales team that greatly outperforms our delivery capacity.</p> <p><br /><strong>Let your code have a real impact</strong></p> <p>At Reef Technologies, we don’t have managers. Thanks to the group decision-making framework, Sociocracy 3.0, every member of the team can be sure that their opinion will be valued. (Check it out here - https://sociocracy30.org/the-details/, you’ll be wondering how you survived in traditional organizations until now!)</p> <p>Our CEO (https://linkedin.com/in/reefiasty) doesn’t only take care of sales, bureaucracy, and client relationships - he is also a programmer, so all of us really do work together and understand the job at hand.</p> <p><strong>What kind of projects would you work on?</strong> We mainly accept offers from startups and small-to-medium businesses from the US, the UK, and Canada. Some projects may only last a couple of hours, while others take even a few years for us to complete. There is one thing that you can be sure of, though - that <strong>it will always be your personal choice whether to work on a particular project or reject it</strong>. What would you have thought about these?</p> <ul> <li>financial data warehouse which aggregates over 31 000 time series into a few hundred charts for a fintech company from London</li> <li>graph data search/visualization system for auditors/investigators from Norway</li> <li>super scalable WAF optimized down to extremely low running costs for a client from Chicago, IL</li> <li>multisource cloud object synthesizer library for a storage provider from San Mateo, CA</li> <li>report generator/inventory tracker for an e-commerce/healthcare company from Canada</li> <li>k8s-based revenue optimizer for large private GPU compute clusters in North America</li> <li>paper product level tracker for toilet cleaners from Canada</li> <li>hydrant certification report generator for Australian plumbers</li> <li>multi-tenant hospitality management system for large properties in the US</li> <li>large scale information display system for retailers (international)</li> </ul> <p>We have already delivered those, but you can be sure we’ve got even more exciting projects coming up in the future.</p> <p>All that without ever setting foot in an office. We have completed those projects – and many more – from the comfort of our own homes, from tropical beaches and from our favorite coffee shops. Some of us work early in the morning, others start off late in the night. Each of us is free to choose their own programming environment. We trust our engineers to organize their work and achieve top productivity in their own way. Do you think you&#39;d enjoy this kind of freedom? <strong>Become one of us and make the world a better place by delivering more than just lines of code.</strong></p> <p> </p> <p><strong>HOW TO APPLY</strong></p> <p>Please use <strong>the link below </strong>to apply for the position. <strong>This is the only way to apply!</strong></p> <p>https://careers.reef.pl</p> <p> </p> <p> </p>";1;Москва;Senior Python Backend Engineer;Reef Technologies;2021-09-15;506268;666792
45313415;RUR;TRUE;<p>Уважаемые соискатели, наш клиент, зарубежная компания, разрабатывающая сложное ПО для обработки текстовых и голосовых сообщений, приглашает в свою распределенную команду ведущего Backend Python разработчика.</p> <p>Основные требования к соискателям:<br />- хорошее знание Python 3<br />- знание Bash or equivalent (лучше если опыт работы с Linux)<br />- Databases and good CS fundamentals<br />- Cloud</p> <p>Дополнительными плюсами являются:<br />- опыт работы с VoIP и SiP trunking<br />- Dialogue flow<br />- Celery or equivalent<br />- навыки networking speed optimisation</p> <p> </p> <p>Пожалуйста, присылайте ваши резюме, мы ответим в течение 1-2 дней.</p>;1;Москва;Backend Python Developer (удалённо);IT_Selection;2021-06-08;400000;450000
47163840;RUR;FALSE;<p>A Senior Python Developer vacancy has been opened in an international fintech company specializing in stock market operations.</p> <p><strong>Main responsibilities:</strong></p> <ul> <li>Implement trading strategies to trade in electronic markets, leveraging the latest technologies to efficiently scale across many markets globally.</li> <li>Maintain and continuously improve the existing code-base.</li> </ul> <p><strong>Job requirements:</strong></p> <ul> <li>Expert level coding skills in Python.</li> <li>Expert level coding skills in Rust.</li> <li>Experience with cloud servers is a plus.</li> <li>Extensive knowledge of network technologies, routing protocols and VPN’s.</li> </ul> <p><strong>We offer:</strong></p> <ul> <li>We rely on quick feedback loops.</li> <li>You will be able to challenge your coding and trading skills and grow constantly while collaborating with like-minded experts in a dynamic environment that encourages continuous learning.</li> <li>High salary, attractive benefits and monthly / annual bonuses up to x5 monthly / annual salaries.</li> </ul>;1;Москва;Senior Python Developer;Корсаков Евгений Александрович;2021-09-02;400000;400000
36715026;RUR;FALSE;"<p><strong>Semrush</strong> – продуктовая IT-компания. С 2008 года мы разрабатываем свою собственную онлайн-платформу для интернет-маркетологов, и у нас неплохо получается! Доказательством этому является премия WORLD’S BEST SEARCH SOFTWARE, которую мы получаем уже три года подряд.С помощью Semrush можно отслеживать эффективность сайта, оценивать положение продукта в сети, анализировать конкурентов и многое другое.</p> <p>Сегодня нашим сервисом пользуются 7 000 000+ пользователей из Америки, Европы, Азии и Австралии, а над созданием трудятся более 1000 человек по всему миру. С самого основания мы привержены своим фундаментальным ценностям: всегда отдавать приоритет людям, а не процессам, приспосабливаться к переменам, а не следовать строгому плану.</p> <p>У <strong>Yellow team</strong> сервис аналитики обратных ссылок. Для этого мы собираем данные со всего интернета, обрабатываем их и предоставляем пользователям в виде отчетов. Мы обрабатываем десятки гигабайт данных в секунду. Объем нашего хранилища - несколько петабайт!</p> <p><strong>Чем нужно будет заниматься:</strong></p> <ul> <li> <p>Участвовать в разработке высоконагруженной распределенной системы сбора и обработки данных</p> </li> <li> <p>Решать проблемы производительности (память, диск, сеть)</p> </li> <li> <p>Решать проблемы масштабируемости</p> </li> <li> <p>Сервис написан на C++, python, go</p> </li> </ul> <p><strong>Требования к кандидатам:</strong></p> <ul> <li> <p>Опыт коммерческой разработки от 3-х лет;</p> </li> <li> <p>Твердые знания C++ и Python, наличие собственных проектов в открытом доступе будет плюсом;</p> </li> <li> <p>Уверенные знания Linux/Shell;</p> </li> <li> <p>Опыт работы с сетью</p> </li> <li> <p>Знание структур данных и алгоритмов.</p> </li> </ul> <p><strong>Будут плюсом:</strong></p> <ul> <li> <p>Опыт решения проблем с производительностью и использованием памяти в Big Data/Highload проектах</p> </li> <li> <p>Опыт работы с Apache Spark или желание с ним разбираться</p> </li> </ul> <p><strong>Мы используем:</strong></p> <ul> <li> <p>На серверах Debian;</p> </li> <li> <p>Хранение данных Raw Filesystem, HDFS;</p> </li> <li> <p>Скриптовые языки BASH, Python</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>На данный момент наши сотрудники придерживаются формата “работа из дома“, а вообще СПб офис располагается совсем рядом со ст.м. Московские ворота (10 минут прогулочным шагом). Надеемся, скоро мы все туда вернемся.</li> <li>Гибкое начало рабочего дня, которое подойдет как жаворонку, так и сове. Ты можешь начать день в период с 9:00 до 12:00.</li> <li>Agile-подход в работе (с удовольствием всему научим).</li> <li>Различные тренинги/онлайн-курсы/конференции/книги для прокачивания твоих hard- и soft-скиллов.</li> <li>Поддержка твоих спортивных увлечений и компенсация до 50% от стоимости абонемента (зал/танцы/скалодромы и прочее на твой выбор).</li> <li>Занятия по английскому языку. Сейчас они проводятся в формате онлайн.</li> <li>Крутые вечеринки и корпоративы! Да, тоже в онлайн-режиме, но нам все равно весело:)</li> </ul> <p><strong>Процесс прохождения интервью</strong> на эту вакансию состоит из нескольких этапов, для каждого из которых предусмотрен определенный срок:</p> <ul> <li>Ответ рекрутера после отклика на вакансию – до 3х дней.</li> <li>Заполнение Semrush-анкеты в случае, если твой опыт заинтересовал (занимает около 1 часа) – срок мы не ограничиваем</li> <li>Оценка резюме командой, в которую открыта вакансия – до 3х дней.</li> <li>Телефонный звонок от рекрутера (15-30 минут) – выбор даты и времени за тобой.</li> <li>Интервью с командой, в которую открыта вакансия (1,5 часа) – выбор даты и времени за тобой.</li> <li>Обратная связь по итогам всего процесса интервью с финальным решением – до 2х дней.</li> </ul>";2;Санкт-Петербург;Senior C++/Python Developer (Yellow Team);Semrush;2021-07-29;350000;350000
47112536;RUR;FALSE;"<p><strong>Привет! Мы команда A-hiring - HR агентство.</strong></p> <p>И сейчас мы активно ведем поиск на позицию <strong>&quot;Chief Python Developer&quot;</strong> в крутую команду <strong>Upmarket (https://www.facebook.com/upmarketcc/)</strong></p> <p><strong>Upmarket </strong>— технологический партнер крупнейших маркетплейсов.</p> <p>53% онлайн-покупателей совершают покупки на маркетплейсах три или более раз в месяц.</p> <p><strong>Задачи:</strong></p> <ul> <li>70% кода, 30+% ведения проекта, работа напрямую с основателем проекта</li> <li>Выполнение роли руководителя разработки, Техническая ответственность за весь продукт. В дальнейшем будет расширение команды</li> <li>Разработка других сервисов с нуля – полная диджитализация продукта, отсутствие работы с легаси кодом</li> </ul> <p><strong>Стек: </strong>Python 3.8, Django3, DRF, Pytest, CircleCI, PostgreSQL, Docker swarm, Celery/RabbitMQ</p> <p><strong>Ключевой бэкграунд для кандидатов (hard skills):</strong></p> <ul> <li>Опыт бекенд разработки на Python, желателен опыт с Django от 3-х лет</li> <li>Опыт написания тестов, понимание, что такое пирамида тестирования и умение работать с Pytest</li> <li>PostgreSQL и др. технологии, перечисленные в стеке</li> <li>Умение взаимодействовать с бизнесом, выяснять его потребности</li> </ul> <p><strong>Условия и формат работы:</strong></p> <ul> <li>Удаленная работа</li> <li>Свободный график (главное – показывать результат, больше никакого контроля нет)</li> </ul> <p><strong>Оставляй отклик и наша команда свяжется с тобой!</strong></p>";1;Москва;Chief Python Developer;A-hiring;2021-08-16;350000;350000
46559189;RUR;FALSE;"<p><strong>Что для нас важно:</strong></p> <ul> <li>Опыт разработки на Python3 от 3 лет</li> <li>Опыт работы с фреймворками Django и Django Rest Framework от 2 лет;</li> <li>Понимание работы асинхронных приложений и умение работать с очередями (Celery);</li> <li>Опыт работы с PostgreSQL отличное понимание;</li> <li>Опыт работы с Linux bash(Ubuntu, Debian);</li> <li>Опыт работы с системами контроля версий Git;</li> <li>Опыт написания тестов для Django приложений;</li> <li>Навыки и понимание в масштабировании проектов;</li> <li>Опыт интеграции со сторонними сервисами и API;</li> <li>Желание и умение проводить code review. <p> </p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>Опыт работы с фронтенд фреймворками (React, VueJS);</p> </li> <li>Опыт не реляционных БД;</li> <li>Знание технологий блокчейна.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Гибкий график, который ты выбираешь сам;</li> <li>Мы предлагаем обучение в школе Skyeng с частичной компенсацией стоимости;</li> <li>У нас широкая карта скидок на яндекс.еду, литрес;</li> <li>Удаленная работа;</li> <li>Оформление по контракту.</li> </ul>";1;Москва;Back-end Developer (Python3);Бария;2021-08-17;320000;550000
42108679;KZT;FALSE;<p><strong>Обязанности:</strong></p> <p>Создание API сервисов на Python+Flask.</p> <ul> <li><strong>Дополнительно:</strong></li> <li>Создание микросервисов на gRPC. управление DOCKER контейнерами.</li> <li>Блокчейн</li> <li>Минимальные знания ОС Debian, Centos</li> <li>NGNX</li> </ul>;174;Кызылорда;Программист Python;ГерКуб;2021-02-02;300000;500000
47150093;RUR;FALSE;"<p><strong>biolabs.ru</strong> - молодой биотех-стартап на стыке биохакинга и нейроинтерфейсов. Мы поставили во главу угла эффективность человека и его потенциал, мы намерены научиться максимально точно определять их ключевые &quot;метрики&quot; - от уровня способностей человека и его талантов до уровня «выгорания» на данный момент.</p> <p>Стартап финансируется за счёт инвестиций от родительской компании, специализирующейся на IT-решениях в управлении узкопрофильными финансовыми активами. Помимо инвестиций от родительской компании проект имеет IT-поддержку в лице профессиональных инженеров-программистов и CTO с 20-летним опытом разработки нестандартных решений.</p> <p>Наша цель - создать и предоставить инструменты для простого, быстрого и точного определения личной эффективности.</p> <p>Все исследования и технологии строятся на базе 6-канального нейроинтерфейса (ЭЭГ) Neuroplay-6C, позволяющего отслеживать активность коры головного мозга человека и оценивать его когнитивное состояние.</p> <p>На данный момент, мы запускаем исследование с потоком 40 человеко-сессий в день (1 сессия=1.5 часа), на базе которого приступаем к разработке B2B-продукта для сферы рекрутинга (HR). Задача, которую призван решить наш продукт - сокращение издержек на первичный отбор кандидатов при более качественной и глубокой картине о кандидате.</p> <p>Будем рады видеть в нашей команде всех талантливых единомышленников, способных принести пользу проекту!</p> <p><strong>Основные требования:</strong></p> <ul> <li>Python (в т.ч. знания ООП, декораторов, перегрузки операторов и прочих основных особенностей языка);</li> <li>JavaScript - чтобы без труда уметь разобраться в js-движке на любом крупном сайте;</li> <li>Работа с Git;</li> <li>SQL / NoSQL базы данных;</li> <li>Linux.</li> </ul> <p><strong>Будет плюсом (не обязательно):</strong></p> <ul> <li>Опыт использования React;</li> <li>Покрытие своего кода тестами;</li> <li>Знания С++ и PHP (для работы с нашей базой данных)</li> </ul> <p>Также незаменимым плюсом будет умение работать в команде и самостоятельно организовывать свой рабочий процесс;</p> <ul> </ul> <strong>Условия:</strong> <ul> <li>работа в офисе;</li> <li>опыт работы от 2х лет;</li> <li>испытательный срок 1 месяц;</li> <li>заработная плата от 300.000 руб. в месяц.</li> </ul>";1;Москва;Python разработчик;biolabs;2021-08-17;300000;500000
47188144;RUR;TRUE;"<p>Hi there!<br /><br />We are looking for a senior full-stack/back-end developer<br />Experience and portfolio with notable projects are required.<br /><br />Our expectations:<br />— Minimum 2 years of experience in web development using Python/Flask;<br />— Experience with Docker, AWS;<br />— Experience in API design and development;<br />— Experience with 3rd party integrations like Stripe, Mailjet, etc.;<br />— English written and verbal communication skills;<br />— Knowledge of RDBMS (PostgreSQL) and Celery;<br />— Knowledge utilizing Atlassian Suite (Jira/Confluence/BitBucket) and version control systems;<br />— Strong understanding of development process, including development, testing, and deployment, as well as work breakdown, dependencies, responsibilities full SDLC;</p> <p>Agile mindset would be a plus.<br />Timezone US + RUS</p> <p>Full-time job. 40 hours per week.</p> <p>Please, provide us with links to your best projects and apps.</p>";1;Москва;Senior Python/Flask developer;Каменев Александр Александрович;2021-08-27;300000;450000
